state,state_abbr,state_fips,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_2,adults_2_children_3
Alabama,AL,01,4352,6384,9566,12731,7979,9902,12737,15540
Alaska,AK,02,5303,7780,11656,15513,9722,12066,15520,18936
Arizona,AZ,04,4148,6085,9117,12134,7604,9438,12139,14811
Arkansas,AR,05,4006,5877,8805,11719,7344,9115,11724,14304
California,CA,06,4580,6719,10068,13399,8398,10422,13405,16356
Colorado,CO,08,4628,6789,10172,13538,8484,10529,13544,16524
Connecticut,CT,09,4656,6830,10233,13620,8536,10593,13626,16624
Delaware,DE,10,4426,6492,9728,12947,8114,10070,12953,15803
District of Columbia,DC,11,5503,8073,12096,16098,10089,12521,16106,19650
Florida,FL,12,4614,6768,10141,13497,8459,10498,13503,16475
Georgia,GA,13,4424,6490,9723,12941,8110,10065,12947,15796
Hawaii,HI,15,5410,7936,11891,15826,9918,12309,15833,19317
Idaho,ID,16,4651,6822,10222,13605,8526,10582,13611,16606
Illinois,IL,17,4494,6592,9877,13145,8238,10224,13151,16045
Indiana,IN,18,3996,5861,8782,11688,7325,9091,11694,14267
Iowa,IA,19,4237,6216,9314,12396,7769,9641,12401,15130
Kansas,KS,20,4308,6320,9469,12602,7898,9802,12608,15383
Kentucky,KY,21,3980,5839,8748,11643,7297,9056,11648,14212
Louisiana,LA,22,4208,6172,9248,12308,7714,9573,12314,15024
Maine,ME,23,4670,6850,10264,13661,8561,10625,13667,16675
Maryland,MD,24,4684,6870,10294,13701,8586,10656,13707,16723
Massachusetts,MA,25,4944,7253,10867,14463,9064,11249,14469,17654
Michigan,MI,26,4209,6175,9251,12313,7717,9577,12318,15029
Minnesota,MN,27,4700,6895,10331,13750,8618,10695,13757,16784
Mississippi,MS,28,4166,6111,9156,12187,7637,9479,12192,14875
Missouri,MO,29,4340,6366,9539,12695,7956,9874,12701,15496
Montana,MT,30,4417,6479,9708,12920,8097,10049,12926,15771
Nebraska,NE,31,4242,6222,9323,12408,7776,9651,12413,15145
Nevada,NV,32,4326,6346,9508,12654,7930,9842,12660,15446
New Hampshire,NH,33,4609,6762,10131,13483,8450,10487,13489,16458
New Jersey,NJ,34,4679,6864,10284,13687,8578,10646,13693,16707
New Mexico,NM,35,4131,6060,9080,12085,7574,9399,12090,14751
New York,NY,36,4879,7158,10724,14273,8945,11102,14280,17423
North Carolina,NC,37,4357,6392,9577,12747,7989,9914,12752,15559
North Dakota,ND,38,4266,6258,9376,12479,7821,9706,12484,15232
Ohio,OH,39,4270,6264,9385,12491,7828,9715,12497,15247
Oklahoma,OK,40,4178,6129,9182,12221,7659,9505,12227,14917
Oregon,OR,41,4743,6958,10425,13874,8695,10791,13881,16936
Pennsylvania,PA,42,4504,6607,9899,13175,8257,10247,13181,16081
Rhode Island,RI,44,4766,6991,10475,13942,8738,10844,13948,17018
South Carolina,SC,45,4213,6180,9260,12325,7724,9586,12330,15044
South Dakota,SD,46,4349,6380,9559,12723,7974,9896,12729,15530
Tennessee,TN,47,4458,6539,9798,13040,8173,10143,13046,15917
Texas,TX,48,3888,5703,8545,11373,7128,8846,11378,13882
Utah,UT,49,4277,6274,9401,12512,7841,9731,12517,15272
Vermont,VT,50,4921,7219,10816,14396,9022,11197,14402,17572
Virginia,VA,51,4597,6743,10103,13447,8427,10459,13453,16414
Washington,WA,53,4786,7021,10519,14000,8774,10889,14006,17089
West Virginia,WV,54,4008,5879,8809,11724,7347,9119,11729,14310
Wisconsin,WI,55,4387,6435,9642,12833,8043,9981,12839,15664
Wyoming,WY,56,4390,6439,9648,12841,8048,9988,12847,15674